pIC50,num_atoms,logP,Mol,molecular_weight,polar_surface_area,h_bond_donors,h_bond_acceptors,rotatable_bonds,ring_count,aromatic_rings,logS,electrostatic_potential,shape_index,surface_area,unified_smiles,Cluster
9.0,38,3.9291,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44190>,514.201633564,108.72999999999999,2,4,5,6,4,-3.9291000000000027,-1.7609444169926172,1616.1763612408763,217.68689273133378,COc1ccc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)N5CCN(C(=O)C6CC6)CC5)cc4c3c2)cc1F,2
9.0,34,3.848,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44200>,459.15943440399997,97.65,2,4,4,6,4,-3.8480000000000025,-1.603784767198262,1494.7136552668999,193.78425584740373,COc1ccc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)N5CC6CC5CO6)cc4c3c2)cc1F,2
9.0,34,3.8316,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44270>,461.17508446799997,108.65,3,4,4,5,4,-3.8316000000000026,-1.7937693567307667,1437.281510248408,194.47077552362205,COc1ccc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)N5CCC(O)CC5)cc4c3c2)cc1F,2
9.0,34,5.0515,<rdkit.Chem.rdchem.Mol object at 0x7b8058a442e0>,475.21388826,78.25,2,4,4,5,4,-5.051500000000003,-1.6710330652696261,1379.3061093773426,204.24857114577392,CC(C)(C)N1CCN(Cc2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(Cl)c4)nc23)CC1,2
9.0,30,3.9676,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44350>,420.135303592,84.24000000000001,2,4,4,5,4,-3.9676000000000027,-1.5056277564630378,1261.021455742482,178.14251424749105,NC(=O)c1cc(-c2cccc(Cl)c2)nc2c1[nH]c1ccc(CN3CCOCC3)cc12,2
9.0,30,3.8872,<rdkit.Chem.rdchem.Mol object at 0x7b8058a443c0>,419.15128800400004,78.25,2,4,3,5,4,-3.8872000000000018,-1.49941814732443,1273.5595472254922,178.78880268818756,CN1CCN(c2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(Cl)c4)nc23)CC1,2
9.0,34,5.0069,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44430>,467.19329504800004,87.04,3,4,4,5,4,-5.0069000000000035,-1.621310290978681,1386.8367796892246,193.5020554122825,CN1CCC(Nc2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(C(F)(F)F)c4)nc23)CC1,2
9.0,30,2.8964,<rdkit.Chem.rdchem.Mol object at 0x7b8058a444a0>,401.18517497600004,110.26,3,5,4,5,4,-2.8964000000000008,-1.8192916291996535,1240.1618152680453,173.17913871762207,NC(=O)c1cc(-c2ccc(CN3CCOCC3)cc2)nc2c1[nH]c1cc(N)ccc12,2
9.0,37,2.549,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44510>,519.194025408,121.62,2,7,5,6,4,-2.5490000000000004,-1.8888856585035194,1576.899623586304,214.6784173766565,NC(=O)c1cc(-c2ccc(CN3CCOCC3)cc2)nc2c1[nH]c1cc(N3CCS(=O)(=O)CC3)ccc12,2
9.0,35,2.7389,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44580>,491.16272528,113.78,2,7,5,6,4,-2.738900000000001,-1.7407110467061007,1438.6807743250376,204.96844959483204,NC(=O)c1cc(-c2ccc(CN3CCOCC3)s2)nc2c1[nH]c1cc(N3CCOCC3=O)ccc12,2
9.0,31,3.4663,<rdkit.Chem.rdchem.Mol object at 0x7b8058a445f0>,420.15976875200005,93.47,2,5,4,5,4,-3.466300000000002,-1.5826239197104413,1311.4148455134882,177.11832865304245,COc1ccc(-c2cc(C(N)=O)c3[nH]c4cc(N5CCOCC5)ccc4c3n2)cc1F,2
9.0,34,3.2123,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44660>,477.18346072400004,96.71000000000001,2,7,5,6,4,-3.2123000000000017,-1.8257606142575855,1351.6019964042885,200.80692749478828,NC(=O)c1cc(-c2ccc(CN3CCOCC3)s2)nc2c1[nH]c1cc(N3CCOCC3)ccc12,2
9.0,38,3.683,<rdkit.Chem.rdchem.Mol object at 0x7b8058a446d0>,535.1986321200001,105.94,2,7,7,6,4,-3.6830000000000025,-2.031538418699159,1477.4085971883392,224.94831779516198,NC(=O)c1cc(-c2ccc(OCCN3CCOCC3)c(Cl)c2)nc2c1[nH]c1cc(N3CCOCC3)ccc12,2
9.0,27,4.23272,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44740>,362.10667056000005,96.18,3,2,3,4,4,-4.232720000000001,-1.3765188004633533,1257.4901845392703,152.77851720545803,Cc1ccc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)O)cc4c3c2)c(F)c1,2
9.0,30,2.3494,<rdkit.Chem.rdchem.Mol object at 0x7b8058a447b0>,401.148789468,114.19999999999999,2,5,3,5,4,-2.3494,-1.479970756316522,1276.42067155883,171.22041810159962,NC(=O)c1cc(-c2ncccn2)cc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,2
9.0,34,3.4461,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44820>,453.180089596,106.24,2,5,3,6,5,-3.446100000000002,-1.6597994331270483,1607.6647526023542,194.46650867439453,Cn1ccc2cc(-c3cc(C(N)=O)c4[nH]c5cc(C(=O)N6CCOCC6)ccc5c4n3)ccc21,2
9.0,33,4.1691,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44890>,456.1256115,101.31,2,5,3,6,5,-4.169100000000003,-1.5123432606405085,1562.5834938582,192.32279792279982,NC(=O)c1cc(-c2ccc3sccc3c2)nc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,2
9.0,33,3.5641,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44900>,457.120860468,114.19999999999999,2,6,3,6,5,-3.5641000000000016,-1.4722711917521036,1565.0311581108235,191.54244590374634,NC(=O)c1cc(-c2ccc3scnc3c2)nc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,2
9.0,31,3.591,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44970>,413.18517497600004,97.13,2,5,4,6,4,-3.591000000000002,-1.5446853793305617,1301.3015681060258,178.78294907681982,NC(=O)c1cc(-c2ccc(C3CC3)nc2)nc2c1[nH]c1cc(N3CCOCC3)ccc12,2
9.0,31,2.7796,<rdkit.Chem.rdchem.Mol object at 0x7b8058a449e0>,416.19607400800004,100.37,2,6,4,5,4,-2.779600000000001,-1.6744695655853308,1272.959475403387,179.18367178615583,CN(C)c1ccc(-c2cc(C(N)=O)c3[nH]c4cc(N5CCOCC5)ccc4c3n2)cn1,2
9.0,34,2.5502,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44a50>,458.206638692,109.6,2,7,4,6,4,-2.5502000000000002,-1.8417469119228635,1354.851799269603,196.0212700909267,NC(=O)c1cc(-c2ccc(N3CCOCC3)nc2)nc2c1[nH]c1cc(N3CCOCC3)ccc12,2
9.0,37,3.7589,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44ac0>,504.18089812,117.96,2,5,4,5,4,-3.7589000000000024,-1.8123378444347915,1555.731608377812,211.07638488557672,COC(=O)N1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4ccc(OC)c(F)c4)cc23)CC1,2
9.0,35,4.2217,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44b30>,475.19073453199996,108.65,3,4,4,5,4,-4.221700000000003,-1.809877211144584,1491.0942943707166,200.83571763801865,COc1ccc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCCC(C)(O)C5)ccc4c3c2)cc1F,2
9.0,25,3.47632,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44ba0>,351.088687748,89.59,2,4,3,4,4,-3.476320000000001,-1.1643304155227172,1111.8125689526123,147.82940760660853,Cc1ccc(Cl)cc1-n1cc(-c2ncnc3[nH]ccc23)cc1C(N)=O,2
9.0,26,3.7303,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44c10>,365.104337812,89.59,2,4,4,4,4,-3.7303000000000015,-1.2131083323274214,1128.1245980445588,154.1943497210051,CCc1ccc(Cl)cc1-n1cc(-c2ncnc3[nH]ccc23)cc1C(N)=O,2
9.0,28,4.1867,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44c80>,405.060422312,89.59,2,4,3,4,4,-4.186700000000002,-1.079651887275115,1211.6259078346009,160.32601381538723,NC(=O)c1cc(-c2ncnc3[nH]ccc23)cn1-c1cc(C(F)(F)F)ccc1Cl,2
9.0,34,2.85398,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44cf0>,479.17395866000004,155.78999999999996,3,8,8,4,3,-2.853980000000001,-1.6883310903816784,1298.581756409454,197.405613583729,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)NCc3cccnc3)cc2)n1,2
9.0,33,3.59148,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44d60>,470.21000982,142.89999999999998,3,7,7,4,2,-3.5914800000000024,-1.6160543945680337,1129.9368417515973,193.94775081517233,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)NC3CCCCC3)cc2)n1,2
9.0,32,3.11118,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44dd0>,451.18312428800004,137.19,4,7,5,3,2,-3.111180000000002,-1.6911082334583774,1038.4301594248202,181.9981333770559,CC1(O)CCC(n2cc(C(N)=O)c(Nc3ccc(C(C)(O)C(F)(F)F)cc3)n2)C(C#N)C1,2
9.0,31,1.90518,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44e40>,446.173624312,152.13,3,8,9,3,2,-1.905179999999999,-1.6626724415199394,1058.3294822081114,180.97230085501857,COCCNS(=O)(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1,2
9.0,36,4.07058,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44eb0>,504.24605889200006,120.19999999999999,3,7,6,4,2,-4.070580000000002,-1.7604838757400498,1157.9377119796563,207.4176705991205,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(C(C)(O)C(F)(F)F)cc4)n3)C(C#N)C2)C1,2
9.0,35,4.9648,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44f20>,472.247440884,68.74000000000001,1,7,4,5,3,-4.964800000000004,-1.900710783193035,1144.551240673006,206.3132590693667,C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,2
9.0,32,2.00138,<rdkit.Chem.rdchem.Mol object at 0x7b8058a44f90>,458.17362431199996,143.33999999999997,2,8,6,4,2,-2.0013799999999997,-1.5728627486785824,1116.1489033899666,186.5413833024813,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)n1,2
9.0,35,1.92668,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45000>,514.1246234319999,180.2,4,9,8,3,2,-1.926679999999999,-1.682901997045728,1253.5184474384776,197.1757401759017,N#CC1CC(NCC(=O)O)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,2
9.0,30,2.66718,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45070>,430.178709692,142.9,3,7,7,3,2,-2.66718,-1.4900583063577248,1053.2012269522104,175.8587556255117,CC(C)NS(=O)(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1,2
9.0,35,1.83328,<rdkit.Chem.rdchem.Mol object at 0x7b8058a450e0>,499.20017340800007,154.42,2,8,6,4,2,-1.8332799999999994,-1.6405515764014948,1241.6476778777646,204.07907807201477,CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3nn(C4CCCCC4C#N)cc3C(N)=O)cc2)CC1,2
9.01,32,2.953,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45150>,448.16814500800007,91.63,2,8,5,5,4,-2.953000000000001,-1.5156344381956635,1359.027902139405,186.37533729479497,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCNCC5)c4)nc23)cc1,2
9.01,40,4.0864,<rdkit.Chem.rdchem.Mol object at 0x7b8058a451c0>,545.2638192200001,118.07000000000001,3,9,5,5,3,-4.086400000000002,-2.3882892168987797,1309.1518675291502,233.50279983348565,O=C(NO)C1CCN(CCOc2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,2
9.02,33,3.3756,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45230>,463.1678106600001,88.83,1,8,6,5,4,-3.375600000000002,-1.5010141058254827,1377.0092936315948,192.30396245509044,CS(=O)(=O)c1ccc(-c2cccc3nc(Nc4cccc(CN5CCOCC5)c4)nn23)cc1,2
9.02,31,2.72108,<rdkit.Chem.rdchem.Mol object at 0x7b8058a452a0>,437.167474224,137.19,4,7,5,3,2,-2.7210799999999997,-1.6717064568816482,994.9698492721267,175.6331912626593,CC(O)(c1ccc(Nc2nn(C3CCC(O)CC3C#N)cc2C(N)=O)cc1)C(F)(F)F,2
9.02,34,2.85398,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45310>,479.17395866000004,155.78999999999996,3,8,8,4,3,-2.853980000000001,-1.6897375882308623,1298.581756409454,197.405613583729,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)NCc3ccncc3)cc2)n1,2
9.05,38,4.0959,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45380>,534.2413099480001,103.07000000000001,2,8,8,5,4,-4.095900000000003,-1.9197506379002633,1509.3911267788012,223.3396306161978,CC(O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2)CC1,2
9.05,35,3.57802,<rdkit.Chem.rdchem.Mol object at 0x7b8058a453f0>,492.2055931360001,109.97000000000001,2,9,7,6,4,-3.5780200000000013,-1.3774018456009556,1478.512303326225,205.90458483510608,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C(=O)NC)s3)nc21,2
9.05,34,3.45898,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45460>,478.178709692,142.89999999999998,3,7,8,4,3,-3.458980000000002,-1.7053244308578352,1296.726290831534,198.1859656027825,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2)n1,2
9.07,26,1.2508,<rdkit.Chem.rdchem.Mol object at 0x7b8058a454d0>,373.1320938480001,116.76,2,7,4,4,3,-1.2507999999999995,-1.207355827515045,1033.7641121900992,150.48066104957817,CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3n[nH]cc3n2)C1,2
9.08,28,2.031,<rdkit.Chem.rdchem.Mol object at 0x7b8058a455b0>,401.1633939760001,116.76,2,7,6,4,3,-2.0309999999999993,-1.2976832041614705,1066.4911794134089,163.21054527837134,CCCS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3n[nH]cc3n2)C1,2
9.09,29,2.882,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45620>,414.18379507200007,103.86999999999999,2,6,7,4,3,-2.8820000000000006,-1.3860538356382062,1095.0543077975992,170.38738584341672,CC(C)CCS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,2
9.1,31,3.9003,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45690>,414.21680945200006,57.93000000000001,1,7,5,5,4,-3.900300000000003,-1.5985322781279752,1195.6314818030805,181.4383977435072,COc1ccccc1-c1ccc2cnc(Nc3cccc(N4CCN(C)CC4)c3)nn12,2
9.1,38,3.1221,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45700>,531.241644296,86.08,1,9,6,6,4,-3.1221000000000014,-1.8239843827323452,1512.6056479682277,223.16402187004755,CN1CCN(c2cccc(Nc3nc4cccc(-c5ccc(CN6CCS(=O)(=O)CC6)cc5)n4n3)c2)CC1,2
9.12,35,2.7738,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45770>,511.13479628,113.74,1,9,6,5,4,-2.7738000000000014,-1.4599040930699998,1565.4420565024736,203.81581560737015,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(CN5CCS(=O)(=O)CC5)cc4)nc23)cc1,2
9.12,36,3.0462,<rdkit.Chem.rdchem.Mol object at 0x7b8058a457e0>,506.21000982000004,103.07000000000001,2,9,7,5,4,-3.0462000000000016,-1.8346904876435906,1458.8284259225372,210.4743688767761,CC(O)CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,2
9.14,28,2.6344,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45850>,400.16814500800007,103.86999999999999,2,6,5,4,3,-2.6344000000000003,-1.3184371310893563,1078.72719515771,164.02244372902013,CC(C)S(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,2
9.14,30,3.4888,<rdkit.Chem.rdchem.Mol object at 0x7b8058a458c0>,419.141595912,79.60000000000001,1,7,4,5,4,-3.488800000000002,-1.257098565484301,1360.314296414678,174.46053299679036,CN1Cc2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cc2C1,2
9.15,32,3.38,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45930>,449.1521605960001,88.83,1,8,5,5,4,-3.3800000000000017,-1.4356588790828242,1342.9231491671317,185.9390203406938,CS(=O)(=O)c1ccc(-c2cccc3nc(Nc4ccc(N5CCOCC5)cc4)nn23)cc1,2
9.15,34,3.4363,<rdkit.Chem.rdchem.Mol object at 0x7b8058a459a0>,476.199445136,82.83999999999999,1,8,6,5,4,-3.436300000000002,-1.6061339778688954,1389.8823759314132,199.3151930101835,CN1CCN(c2ccc(Nc3nc4c(-c5ccc(CS(C)(=O)=O)cc5)cccn4n3)cc2)CC1,2
9.15,31,2.6644,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45a10>,437.1633939760001,106.21,2,9,5,5,4,-2.6644000000000014,-1.3980633046981483,1319.5339750267303,179.58767919594908,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cnn(C5CCNCC5)c4)nc23)cc1,2
9.15,41,3.08902,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45a80>,596.198793504,135.32,1,11,7,7,4,-3.0890200000000014,-1.4605169077594795,1804.3474528919314,240.8289498931486,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C(=O)N4CCS(=O)(=O)CC4)s3)nc21,2
9.18,34,3.93658,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45af0>,476.21475876400007,125.83000000000001,3,6,7,3,2,-3.936580000000002,-1.5790753832079887,1085.6055653584551,194.8509343851089,CC(C)(C(=O)NCC(F)(F)F)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1,2
9.18,28,2.4919,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45b60>,400.16814500800007,103.86999999999999,2,6,6,4,3,-2.4919000000000002,-1.3318340586045765,1078.72719515771,164.02244372902013,CC(C)CS(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,2
9.18,35,2.7738,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45bd0>,511.13479628000005,113.74,1,9,6,5,4,-2.7738000000000014,-1.4421629171046584,1565.4420565024736,203.81581560737015,CS(=O)(=O)c1ccc(-c2cccc3nc(Nc4ccc(CN5CCS(=O)(=O)CC5)cc4)nn23)cc1,2
9.19,36,2.1507,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45c40>,505.1896087240001,125.92999999999999,2,9,7,5,4,-2.1506999999999996,-1.8194153414559142,1508.4550049430368,208.81660580724002,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCN(CC(N)=O)CC5)c4)nc23)cc1,2
9.2,33,2.3894,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45cb0>,465.1695419760001,141.68,3,9,6,5,4,-2.3894,-1.5913943064735316,1375.0315046827006,190.338811851792,CS(=O)(=O)N1CCCC(Nc2nc(Nc3ccncc3)ncc2-c2cnc3[nH]ccc3n2)C1,2
9.21,28,1.12248,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45d20>,398.12734281600007,140.55,2,8,4,4,3,-1.1224799999999995,-1.1213482189073716,1167.359258050549,161.26972927703875,CS(=O)(=O)N1CCCC(Nc2nc(C#N)ncc2-c2cnc3[nH]ccc3n2)C1,2
9.22,34,4.7087,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45d90>,457.24777523200004,74.92,2,7,7,5,4,-4.708700000000004,-1.8566947399711582,1243.612795027507,199.5676241686897,COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(C)O)CC4)cc3)nn12,2
9.22,33,3.3756,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45e00>,463.16781066000004,88.83,1,8,6,5,4,-3.375600000000002,-1.5187552817908236,1377.0092936315948,192.30396245509044,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(CN5CCOCC5)c4)nc23)cc1,2
9.22,32,4.5337,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45e70>,447.17289604000007,79.6,1,7,5,5,4,-4.533700000000003,-1.376951842797832,1339.6808616412986,187.19041722558356,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCCCC5)cc4)nc23)cc1,2
9.22,35,3.2875,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45ee0>,491.210344168,86.08,1,8,6,5,4,-3.2875000000000023,-1.659901732199295,1425.2141471014702,205.21040419101539,CN1CCN(c2ccc(Nc3nc4c(-c5ccc(N(C)S(C)(=O)=O)cc5)cccn4n3)cc2)CC1,2
9.22,35,3.2875,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45f50>,491.210344168,86.08,1,8,6,5,4,-3.2875000000000014,-1.6597655599128924,1442.46414710147,205.21040419101539,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(N(C)S(C)(=O)=O)cc5)cccn4n3)c2)CC1,2
9.24,27,2.2443,<rdkit.Chem.rdchem.Mol object at 0x7b8058a45fc0>,386.15249494400007,103.86999999999999,2,6,5,4,3,-2.2443,-1.2651070084327605,1062.408913604286,157.65750161462356,CC(C)S(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,2
9.24,30,2.8924,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46030>,428.19944513600007,93.01,1,7,6,4,3,-2.892400000000001,-1.356122005201224,1141.3590296071638,176.9622994444087,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3ccn(C)c3n2)C1,2
9.26,30,2.6442,<rdkit.Chem.rdchem.Mol object at 0x7b8058a460a0>,440.12422950800004,103.86999999999999,2,6,4,4,3,-2.6442000000000005,-1.2349393059178864,1163.9381514057295,170.15410782340228,CS(=O)(=O)N1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC(C(F)(F)F)C1,2
9.26,35,2.7738,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46110>,511.13479628000005,113.74,1,9,6,5,4,-2.7738000000000005,-1.4420824503561425,1582.6920565024739,203.81581560737015,CS(=O)(=O)c1ccc(-c2cccc3nc(Nc4cccc(CN5CCS(=O)(=O)CC5)c4)nn23)cc1,2
9.26,37,2.1789,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46180>,520.1892743760001,142.91999999999996,3,9,7,5,4,-2.1788999999999996,-1.9791143115276484,1551.09650231999,214.21594800362925,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(C5CCN(CC(N)=O)CC5O)c4)nc23)cc1,2
9.26,34,4.1799,<rdkit.Chem.rdchem.Mol object at 0x7b8058a461f0>,452.184840628,69.45,2,6,2,8,5,-4.179900000000003,-1.5308787104146095,1697.063289631942,194.7516475569124,CNC1CC2OC(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2
9.27,34,3.6513,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46260>,458.24302420000004,78.16,2,8,7,5,4,-3.6513000000000027,-1.920625996260355,1263.1331903843623,198.96251572449643,COc1ccccc1-c1ccc2cnc(Nc3cccc(N4CCN(CC(C)O)CC4)c3)nn12,2
9.29,30,2.82488,<rdkit.Chem.rdchem.Mol object at 0x7b8058a462d0>,403.21205842,102.75000000000001,2,7,5,5,3,-2.824880000000001,-1.4902631813244185,1084.2796178993572,174.85678793724128,CC1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(C2(CC#N)COC2)C1,2
9.3,26,4.1571,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46340>,346.14297581600005,60.67999999999999,1,6,5,4,4,-4.1571000000000025,-1.3025132934588786,1041.3121038443496,150.57833832855016,COc1ccc(Nc2ncc3ccc(-c4ccccc4OC)n3n2)cc1,2
9.3,35,3.7904,<rdkit.Chem.rdchem.Mol object at 0x7b8058a463b0>,476.23360238800007,78.16,2,8,7,5,4,-3.7904000000000027,-1.8594567884354816,1316.4484546284452,203.12805112742268,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(CC(C)O)CC4)c(F)c3)nn12,2
9.3,32,4.5537,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46420>,448.1778371000001,57.93000000000001,1,7,5,5,4,-4.553700000000004,-1.535773114339533,1248.462101682315,191.7416639703889,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(Cl)c3)nn12,2
9.3,34,4.1037,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46490>,458.24302420000004,87.81,2,8,7,5,4,-4.103700000000003,-1.8189584424647933,1228.6331903843623,198.78727214963618,COc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(C)O)CC5)cc4)nn23)cn1,2
9.3,38,4.3119,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46500>,537.215823472,123.72,1,10,5,5,4,-4.311900000000003,-1.5487189954444507,1561.1191375585117,220.89742858407806,CC(C)(C)OC(=O)N1CCC(n2cc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cn2)CC1,2
9.33,34,3.6513,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46570>,458.24302420000004,78.16,2,8,7,5,4,-3.6513000000000027,-1.920762168556235,1245.883190384362,198.96251572449643,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(CC(C)O)CC4)cc3)nn12,2
9.33,33,3.6704,<rdkit.Chem.rdchem.Mol object at 0x7b8058a465e0>,482.1711797000001,103.86999999999999,2,6,6,4,3,-3.6704000000000025,-1.3725630200405035,1227.9630826658104,189.24893416659205,CC(C)CS(=O)(=O)N1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC(C(F)(F)F)C1,2
9.34,38,3.7674,<rdkit.Chem.rdchem.Mol object at 0x7b8058a46650>,553.181746472,113.74,1,9,8,5,4,-3.767400000000003,-1.6267949063881906,1657.3735275445893,222.91064195055995,CS(=O)(=O)CCN1CCC(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,2
9.39,36,3.2081,<rdkit.Chem.rdchem.Mol object at 0x7b8058a466c0>,504.19435975600004,122.68999999999998,2,8,7,5,4,-3.208100000000001,-1.7554032503122388,1506.4816864658128,209.42171425143323,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(C5CCN(CC(N)=O)CC5)c4)nc23)cc1,2
